"Orig","Ref (sequence)","Noviewl, nosnoc","nosnoc"
6.97E-008,5.68E-008,6.82E-008,6.70E-008
7.23E-008,9.46E-008,7.09E-008,6.99E-008
7.20E-008,9.59E-008,6.95E-008,7.20E-008
7.20E-008,1.00E-007,6.80E-008,7.02E-008
7.18E-008,1.05E-007,6.73E-008,6.99E-008
7.19E-008,1.09E-007,6.43E-008,7.06E-008
7.19E-008,1.46E-007,6.72E-008,7.00E-008
7.22E-008,1.52E-007,6.72E-008,6.99E-008
7.19E-008,1.60E-007,6.77E-008,7.01E-008
7.22E-008,1.74E-007,6.24E-008,7.02E-008
7.18E-008,2.22E-007,6.82E-008,6.99E-008
7.22E-008,2.40E-007,6.85E-008,6.99E-008
7.22E-008,2.44E-007,6.79E-008,7.07E-008
7.20E-008,2.32E-007,6.73E-008,8.15E-008
7.22E-008,3.04E-007,6.88E-008,7.03E-008
1.46E-007,3.03E-007,8.75E-008,9.57E-008
1.58E-007,3.41E-007,9.47E-008,9.58E-008
1.34E-007,3.40E-007,7.90E-008,8.91E-008
2.18E-007,4.22E-007,1.15E-007,1.46E-007
2.23E-007,4.10E-007,1.26E-007,1.40E-007
3.31E-007,4.66E-007,1.49E-007,1.99E-007
3.28E-007,4.64E-007,1.72E-007,2.29E-007
3.58E-007,4.80E-007,2.27E-007,2.16E-007
4.51E-007,4.99E-007,2.33E-007,2.97E-007
4.18E-007,5.50E-007,2.73E-007,3.30E-007
5.36E-007,5.00E-007,2.87E-007,3.33E-007
6.48E-007,6.19E-007,3.06E-007,3.95E-007
5.69E-007,6.71E-007,3.67E-007,4.43E-007
1.82E-006,6.01E-007,1.15E-006,1.30E-006
1.78E-006,6.82E-007,1.17E-006,1.19E-006
1.90E-006,5.78E-007,1.17E-006,1.39E-006
1.98E-006,7.38E-007,1.39E-006,1.42E-006
1.74E-006,1.54E-006,1.42E-006,1.65E-006
2.40E-006,2.38E-006,1.45E-006,1.77E-006
2.00E-006,2.53E-006,1.42E-006,1.50E-006
2.21E-006,1.60E-006,1.49E-006,1.84E-006
2.31E-006,1.67E-006,1.74E-006,1.86E-006
2.18E-006,2.60E-006,1.95E-006,1.77E-006
2.35E-006,2.91E-006,1.91E-006,1.77E-006
2.31E-006,1.60E-006,1.83E-006,2.06E-006
2.29E-006,2.56E-006,1.91E-006,1.70E-006
2.92E-006,1.74E-006,1.92E-006,2.35E-006
2.25E-006,3.20E-006,1.86E-006,1.73E-006
2.95E-006,2.98E-006,2.18E-006,2.27E-006
3.10E-006,1.84E-006,1.92E-006,2.31E-006
2.74E-006,1.91E-006,2.14E-006,2.32E-006
2.79E-006,1.86E-006,2.15E-006,1.97E-006
2.90E-006,1.89E-006,1.95E-006,2.13E-006
3.04E-006,3.04E-006,2.11E-006,2.37E-006
2.97E-006,3.17E-006,2.20E-006,2.69E-006
